cell50,n,x50,y50,in_range
794,242,1900000,2435000,TRUE
795,288,1950000,2435000,TRUE
796,1637,2000000,2435000,TRUE
797,246,2050000,2435000,TRUE
798,0,-2300000,2385000,FALSE
799,0,-2250000,2385000,FALSE
800,0,-2200000,2385000,FALSE
801,0,-2150000,2385000,FALSE
802,0,-2100000,2385000,FALSE
803,0,-2050000,2385000,TRUE
804,0,-2000000,2385000,TRUE
805,0,-1950000,2385000,TRUE
806,0,-1900000,2385000,TRUE
807,0,-1850000,2385000,FALSE
808,0,-1800000,2385000,FALSE
809,0,-1750000,2385000,FALSE
810,0,-1700000,2385000,FALSE
811,0,-1650000,2385000,FALSE
812,1,-1600000,2385000,FALSE
813,0,-1550000,2385000,FALSE
814,0,-1500000,2385000,TRUE
815,0,-1450000,2385000,TRUE
816,0,-1400000,2385000,TRUE
817,0,-1350000,2385000,TRUE
818,0,-1300000,2385000,TRUE
819,10,-1250000,2385000,TRUE
820,33,-1200000,2385000,TRUE
821,1,-1150000,2385000,TRUE
822,1,-1100000,2385000,TRUE
823,0,-1050000,2385000,TRUE
824,1,-1000000,2385000,TRUE
825,1,-950000,2385000,TRUE
826,0,-900000,2385000,TRUE
827,1,-850000,2385000,TRUE
828,0,-800000,2385000,TRUE
829,0,-750000,2385000,TRUE
830,3,-700000,2385000,TRUE
831,10,-650000,2385000,TRUE
832,52,-600000,2385000,TRUE
833,0,-550000,2385000,TRUE
836,0,-400000,2385000,TRUE
837,33,-350000,2385000,TRUE
838,2,-300000,2385000,TRUE
839,3,-250000,2385000,TRUE
840,8,-200000,2385000,TRUE
841,0,-150000,2385000,TRUE
842,10,-100000,2385000,TRUE
843,8,-50000,2385000,TRUE
844,2,0,2385000,TRUE
845,0,50000,2385000,TRUE
846,30,100000,2385000,TRUE
847,19,150000,2385000,TRUE
848,90,200000,2385000,TRUE
849,108,250000,2385000,TRUE
850,50,300000,2385000,TRUE
851,3,350000,2385000,TRUE
852,33,400000,2385000,TRUE
